Sample;Lvl1. STD approx;Lvl1. Details. Horizontal. Energy;Lvl1. Details. Horizontal. Std ;Lvl1. Details. Vertical. Energy;Lvl1. Details. Vertical. Std;Lvl1. Details. Diagonal. Energy;Lvl1. Details. Diagonal. Std;Lvl1. Entropy. Approx;Lvl1. Entropy. Horizontal;Lvl1. Entropy. Vertical;Lvl1. Entropy. Diagonal;Lvl1. lim. Horizontal;Lvl1. lim. Vertical;Lvl1. lim. Diagonal;Lvl1. NPIM;Lvl2. STD approx;Lvl2. Details. Horizontal. Energy;Lvl2. Details. Horizontal. Std ;Lvl2. Details. Vertical. Energy;Lvl2. Details. Vertical. Std;Lvl2. Details. Diagonal. Energy;Lvl2. Details. Diagonal. Std;Lvl2. Entropy. Approx;Lvl2. Entropy. Horizontal;Lvl2. Entropy. Vertical;Lvl2. Entropy. Diagonal;Lvl2. lim. Horizontal;Lvl2. lim. Vertical;Lvl2. lim. Diagonal;Lvl2. NPIM;Lvl3. STD approx;Lvl3. Details. Horizontal. Energy;Lvl3. Details. Horizontal. Std ;Lvl3. Details. Vertical. Energy;Lvl3. Details. Vertical. Std;Lvl3. Details. Diagonal. Energy;Lvl3. Details. Diagonal. Std;Lvl3. Entropy. Approx;Lvl3. Entropy. Horizontal;Lvl3. Entropy. Vertical;Lvl3. Entropy. Diagonal;Lvl3. lim. Horizontal;Lvl3. lim. Vertical;Lvl3. lim. Diagonal;Lvl3. NPIM;Lvl4. STD approx;Lvl4. Details. Horizontal. Energy;Lvl4. Details. Horizontal. Std ;Lvl4. Details. Vertical. Energy;Lvl4. Details. Vertical. Std;Lvl4. Details. Diagonal. Energy;Lvl4. Details. Diagonal. Std;Lvl4. Entropy. Approx;Lvl4. Entropy. Horizontal;Lvl4. Entropy. Vertical;Lvl4. Entropy. Diagonal;Lvl4. lim. Horizontal;Lvl4. lim. Vertical;Lvl4. lim. Diagonal;Lvl4. NPIM;Lvl5. STD approx;Lvl5. Details. Horizontal. Energy;Lvl5. Details. Horizontal. Std ;Lvl5. Details. Vertical. Energy;Lvl5. Details. Vertical. Std;Lvl5. Details. Diagonal. Energy;Lvl5. Details. Diagonal. Std;Lvl5. Entropy. Approx;Lvl5. Entropy. Horizontal;Lvl5. Entropy. Vertical;Lvl5. Entropy. Diagonal;Lvl5. lim. Horizontal;Lvl5. lim. Vertical;Lvl5. lim. Diagonal;Lvl5. NPIM;Lvl6. STD approx;Lvl6. Details. Horizontal. Energy;Lvl6. Details. Horizontal. Std ;Lvl6. Details. Vertical. Energy;Lvl6. Details. Vertical. Std;Lvl6. Details. Diagonal. Energy;Lvl6. Details. Diagonal. Std;Lvl6. Entropy. Approx;Lvl6. Entropy. Horizontal;Lvl6. Entropy. Vertical;Lvl6. Entropy. Diagonal;Lvl6. lim. Horizontal;Lvl6. lim. Vertical;Lvl6. lim. Diagonal;Lvl6. NPIM;Lvl7. STD approx;Lvl7. Details. Horizontal. Energy;Lvl7. Details. Horizontal. Std ;Lvl7. Details. Vertical. Energy;Lvl7. Details. Vertical. Std;Lvl7. Details. Diagonal. Energy;Lvl7. Details. Diagonal. Std;Lvl7. Entropy. Approx;Lvl7. Entropy. Horizontal;Lvl7. Entropy. Vertical;Lvl7. Entropy. Diagonal;Lvl7. lim. Horizontal;Lvl7. lim. Vertical;Lvl7. lim. Diagonal;Lvl7. NPIM;Lvl8. STD approx;Lvl8. Details. Horizontal. Energy;Lvl8. Details. Horizontal. Std ;Lvl8. Details. Vertical. Energy;Lvl8. Details. Vertical. Std;Lvl8. Details. Diagonal. Energy;Lvl8. Details. Diagonal. Std;Lvl8. Entropy. Approx;Lvl8. Entropy. Horizontal;Lvl8. Entropy. Vertical;Lvl8. Entropy. Diagonal;Lvl7. lim. Horizontal;Lvl7. lim. Vertical;Lvl7. lim. Diagonal;Lvl7. NPIM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;117,8963;33134301,5625;44,9705;2312451,5625;11,8799;2231170,3125;11,6696;0,1146;0,0621;0,0174;-0,0168;8,0383;115,1775;119,3734;0,4704;103,8512;11812451,6602;53,7019;494037,5977;10,9815;450348,9258;10,4851;0,2512;0,2094;0,0802;0,0122;5,6369;103,1897;36,9633;0,4704;78,0977;4507219,9402;66,3280;142924,8230;11,8134;148131,9031;12,0246;0,5390;0,5282;0,3311;0,4339;3,6933;89,1721;21,5094;0,4704;55,1082;686470,3617;51,7805;37760,2604;12,1417;59727,6295;15,2597;0,8539;0,9354;0,9347;1,2262;5,3282;37,8380;13,3365;0,4704;36,1901;88714,1509;36,7246;9299,9785;12,0233;12526,3738;13,9883;1,2246;1,1763;1,9537;2,0366;11,0505;12,7723;9,4826;0,4704;26,1952;3803,0085;15,4056;2811,9065;13,1638;3361,6023;14,4853;1,7558;1,9853;1,9524;1,7984;4,2579;8,8087;8,2317;0,4704;9,8006;1987,3393;17,0135;200,3511;6,9533;172,8591;6,3309;-7,4469;-1,7997;-9,8367;-15,9596;2,0490;2,5702;2,4122;0,4704;0,0000;2,6580;0,0000;1,6991;0,0000;91,6946;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;1,0000;1,0000;0,4704;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;114,6164;14305500,0000;29,5489;6209887,5000;19,4675;7185262,5000;20,9392;0,1097;0,0506;0,0360;0,0381;18,6182;42,8901;37,0679;0,3518;108,9006;3777038,0859;30,3664;840752,9297;14,3269;615197,4609;12,2554;0,2158;0,1532;0,1116;0,0771;17,6291;79,1976;42,2791;0,3518;99,3076;1632260,8521;39,9241;272768,4448;16,3164;140241,9067;11,7016;0,4475;0,3987;0,3321;0,4017;10,1984;50,1213;19,5898;0,3518;79,9716;734303,4645;53,5473;88613,6284;18,5726;64515,0078;15,8729;0,8263;0,8269;0,9568;1,3165;5,4917;20,2255;11,4807;0,3518;45,7724;231954,3084;59,9077;18590,2830;16,7595;24678,1910;19,4301;1,0551;1,0561;1,5637;1,5897;3,8605;16,2627;12,2508;0,3518;28,9509;11126,5307;25,4171;3188,2265;13,8863;5796,5415;19,0331;1,4107;1,7724;2,0396;1,9173;3,1518;3,9563;4,2596;0,3518;8,6785;1543,7469;19,6451;1263,0668;14,6090;244,5300;5,6163;-7,9416;-0,8686;-2,5544;-15,0337;2,9474;3,9426;2,6970;0,3518;0,0000;15,9373;0,0000;46,8971;0,0000;12,4822;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;1,0000;1,0000;0,3518;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;118,5979;20108981,2500;35,0331;6892650,0000;20,5108;6600037,5000;20,0707;0,1203;0,0622;0,0400;0,0393;13,2449;38,6415;40,3547;0,4536;109,3317;6958183,0078;41,2144;940322,4609;15,1513;752359,5703;13,5527;0,2558;0,2031;0,1359;0,1211;9,5694;54,2150;49,7826;0,4536;91,4885;3199306,2012;55,8956;269053,6377;16,2009;200917,0898;14,0074;0,5553;0,5327;0,5272;0,5865;5,2031;21,8117;15,8584;0,4536;51,2706;1289002,3544;70,9316;55158,5358;14,6715;125656,5262;22,1508;0,9607;0,9304;1,2900;1,1920;2,9330;19,4560;13,2625;0,4536;21,9041;106286,6199;39,6195;6389,1656;9,9612;24852,5707;19,6367;1,8418;1,4064;2,6598;1,8842;4,1407;11,3210;6,3240;0,4536;13,5640;2282,6090;11,9356;1508,8458;9,5011;941,4919;7,3070;2,0625;2,0535;1,8587;1,9198;5,9249;8,3597;5,6160;0,4536;6,6474;194,9286;6,4210;196,0293;6,3270;168,2118;6,3010;-10,6652;-18,3144;-12,8376;-12,0765;1,9666;3,6643;2,0599;0,4536;0,0000;0,3227;0,0000;28,6654;0,0000;15,2004;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;1,0000;1,0000;0,4536;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;117,5196;11984920,3125;27,0462;5644982,8125;18,5615;4442020,3125;16,4656;0,1047;0,0439;0,0322;0,0292;22,2231;47,1821;59,9597;0,3700;110,9955;3925630,3711;30,9578;1506497,1680;19,1740;674380,3711;12,8309;0,2124;0,1529;0,1251;0,0495;16,9618;33,8398;24,6840;0,3700;98,3015;1826018,2068;42,2258;624516,2292;24,6945;270053,7781;16,2390;0,4612;0,4254;0,3932;0,4568;8,5554;21,8914;26,5466;0,3700;72,8052;755190,3248;54,2997;229890,4026;29,8997;131741,7057;22,6730;0,8365;0,8663;0,9415;1,1066;5,3398;11,4953;10,8453;0,3700;35,1925;151599,4657;47,8068;59218,6915;30,3883;49155,2750;27,6934;1,1821;1,1317;1,0869;1,5870;4,8181;11,1563;5,2090;0,3700;11,6505;3708,9353;14,9646;3205,0823;14,1326;10730,4442;25,3530;2,0656;1,8777;1,9369;1,6996;4,8575;11,9229;7,9111;0,3700;9,1860;59,7926;2,1433;39,7489;3,0577;105,8612;4,9786;-9,1183;-66,5169;-37,1791;-18,8815;1,9965;2,9352;2,1887;0,3700;0,0000;0,7261;0,0000;82,6871;0,0000;0,9691;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;1,0000;1,0000;0,3700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;118,7468;11334670,3125;26,2966;5563701,5625;18,4221;4295714,0625;16,1922;0,1049;0,0433;0,0323;-0,0855;23,4980;47,8714;15,5005;0,3849;111,9268;4038408,1055;31,3961;1516657,3242;19,2398;888759,6680;14,7302;0,2138;0,1514;0,1338;0,0374;16,4881;43,9029;18,7299;0,3849;99,0171;1773217,1448;41,6126;618515,3870;24,5761;396833,4778;19,6788;0,4759;0,4735;0,4723;0,5307;7,1874;15,1388;11,8389;0,3849;72,0973;712601,0136;52,7593;250607,5962;31,2853;216023,3768;29,0231;0,8501;0,9803;1,0930;1,1856;3,8553;8,3932;6,6140;0,3849;40,3713;87891,2428;37,0190;32836,3922;22,6265;107635,8296;40,9762;1,2953;1,3067;1,5046;1,4514;7,9276;15,7514;3,5664;0,3849;19,9055;5625,6695;18,2552;3523,5949;14,8395;10588,4972;25,3364;1,6925;1,8178;1,8674;1,6523;6,3168;6,5702;5,4764;0,3849;16,1261;72,1486;4,2446;403,2352;8,1277;69,3299;3,9590;-2,0197;-26,1418;-8,9496;-26,2598;2,1811;1,6594;3,4106;0,3849;0,0000;67,4679;0,0000;74,8169;0,0000;117,7654;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;1,0000;1,0000;0,3849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;106,7953;10989225,0000;25,8966;17085318,7500;32,2915;7526643,7500;21,4326;0,1126;0,0502;0,0601;0,0430;24,2367;15,5890;35,3866;0,2971;96,7897;2329723,8281;23,8491;4881955,0781;34,5232;1131841,4063;16,6229;0,2411;0,1671;0,1912;0,1427;28,5809;13,6391;33,0916;0,2971;80,8020;754232,8491;27,1322;1827145,3491;42,2314;326045,7642;17,8426;0,4943;0,4727;0,4688;0,5125;15,7124;9,1106;16,1543;0,2971;56,2800;196315,2534;27,6787;511712,6976;44,7082;152523,3925;24,4089;0,8599;1,0244;0,9339;1,1395;11,4325;6,4510;11,1978;0,2971;34,3966;39564,7051;24,6034;47886,0616;27,3460;39545,6052;24,8127;1,5219;1,6253;1,5222;1,7183;5,8262;8,8623;6,2224;0,2971;26,3197;2884,2094;12,6668;3068,8831;13,8288;1893,2624;10,2193;1,7193;2,0396;1,8846;2,0664;4,5101;4,7532;5,2669;0,2971;13,3477;267,6297;5,6829;1651,4105;20,3178;139,2209;4,6413;-2,9505;-16,3059;-0,5632;-19,2490;3,6277;1,8569;3,0963;0,2971;0,0000;157,3659;0,0000;20,0224;0,0000;0,7733;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;1,0000;1,0000;0,2971;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;101,2202;14480254,6875;29,7273;11586642,1875;26,5917;4889067,1875;17,2743;0,1010;0,0503;0,0457;-0,0794;18,3935;22,9870;13,6193;0,2482;87,8611;5127576,8555;35,3804;4164394,0430;31,8847;1054370,2148;16,0441;0,2265;0,1898;0,1784;0,1062;12,9858;15,9893;15,7880;0,2482;65,1635;1595827,1667;39,4767;1463364,1296;37,8020;497450,7751;22,0381;0,4664;0,4550;0,4457;0,4870;9,7894;11,3754;15,8167;0,2482;37,5049;271076,7391;32,4912;318678,6587;35,2527;137200,8053;23,0884;1,1885;1,2738;1,0836;1,1186;4,8575;7,1934;11,5541;0,2482;13,0525;23055,1334;18,0311;36376,6957;23,8336;19688,0933;17,3720;2,5800;2,2792;1,9806;2,0897;3,8218;3,9802;7,7441;0,2482;6,0387;399,5903;4,9371;1127,9136;8,3512;614,9138;6,1929;0,6613;0,5105;1,6077;1,7015;4,8072;5,3520;7,7379;0,2482;2,6593;22,0729;1,4792;74,9978;1,5910;20,5042;2,1413;-47,6056;-108,5271;-93,8974;-69,1424;3,1060;2,0775;2,3290;0,2482;0,0000;4,1412;0,0000;2,5574;0,0000;0,3732;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;1,0000;1,0000;0,2482;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;111,9830;19011684,3750;34,0643;8282559,3750;22,4838;6429346,8750;19,8094;0,1145;0,0603;0,0428;0,0386;14,0094;32,1570;41,4260;0,3403;102,5770;5304617,5781;35,9832;1963958,2031;21,8954;997727,3438;15,6046;0,2453;0,1935;0,1601;0,1211;12,5524;33,9038;26,0692;0,3403;85,9857;2144015,2222;45,7564;713655,7251;26,3989;345921,5698;18,3773;0,5112;0,4829;0,4767;0,5006;7,7641;17,8586;20,7244;0,3403;60,8563;592396,6415;48,0814;206659,9594;28,3689;145595,8328;23,8267;0,9672;0,9540;0,9219;1,2395;5,4750;15,6943;8,5485;0,3403;36,4275;80595,3898;35,0946;34487,2315;22,9618;37015,1161;24,0007;1,3720;1,4101;1,7443;1,5973;6,5965;6,7954;6,0225;0,3403;26,3407;3094,0913;13,7179;3015,5212;13,5965;4020,4986;15,7046;1,5836;2,0156;2,0478;1,9287;5,3986;4,8773;4,5311;0,3403;17,3890;100,3922;4,9160;1116,0261;14,9822;349,3896;9,2344;-1,2958;-22,0066;-1,7389;-6,4163;2,0601;3,2273;3,1989;0,3403;0,0000;144,5564;0,0000;104,8799;0,0000;52,9424;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;1,0000;1,0000;0,3403;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;112,9152;10359295,3125;25,1409;6278976,5625;19,5761;2897676,5625;13,2988;0,0960;0,0363;0,0291;-0,1010;25,7105;42,4181;22,9790;0,3114;105,1379;4092764,9414;31,6089;2248696,5820;23,4291;604783,3008;12,1507;0,1995;0,1410;0,1223;0,0225;16,2691;29,6108;43,0071;0,3114;91,3688;1660566,4124;40,2697;854929,5227;28,8905;255162,7991;15,7855;0,4327;0,3896;0,3527;0,3971;10,0245;19,4711;20,6418;0,3114;66,1233;548369,6285;46,2698;340784,9361;36,4569;128695,6432;22,4156;0,8026;0,8450;0,8335;1,0761;6,5594;8,6938;13,2710;0,3114;37,4400;77271,5726;34,1320;64884,9134;31,8264;47957,4382;27,2772;1,3408;1,3145;1,2924;1,3906;5,9026;9,8357;7,9017;0,3114;16,1341;3175,6186;14,0341;4315,2720;15,0196;10772,2330;25,4626;1,8814;2,0739;2,0071;1,8285;2,8496;4,5388;2,3949;0,3114;5,9189;139,0801;5,6122;19,8520;2,2054;742,1747;13,3868;-18,4889;-18,1765;-60,3970;-2,3038;1,5785;1,9135;2,4361;0,3114;0,0000;0,4637;0,0000;0,8219;0,0000;33,7474;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;1,0000;1,0000;0,3114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;67,3206;12553889,0625;27,6808;7677014,0625;21,6463;5758776,5625;18,7475;0,0693;0,0470;0,0384;0,0342;21,2159;34,6935;46,2498;0,1051;57,7110;2312705,5664;23,7604;1584222,3633;19,6665;1024397,7539;15,8136;0,1483;0,1288;0,1188;0,0984;28,7912;42,0305;36,5624;0,1051;49,1605;474304,6692;21,5195;283547,7356;16,6321;177882,1106;13,1779;0,2847;0,2800;0,2829;0,2639;28,8243;33,0230;48,3441;0,1051;43,1641;50934,7286;14,0986;54764,6313;14,6224;36027,8744;11,8624;0,5472;0,6523;0,6409;0,6083;18,5561;17,2584;37,5705;0,1051;36,3909;11225,4720;13,2116;18127,4824;16,8206;5132,6029;8,9250;0,8679;1,2045;1,0537;1,3766;11,8402;11,3813;7,5787;0,1051;24,0128;5544,8437;18,6092;4349,8130;16,4876;2068,3358;11,3207;1,5235;1,6243;1,6451;1,6642;6,6137;5,3746;6,5108;0,1051;9,4713;517,4165;11,0983;845,0227;11,4253;585,1915;11,1980;-6,6650;-5,7870;-3,6787;-5,0264;1,4370;2,2091;2,8938;0,1051;0,0000;9,8110;0,0000;3,8610;0,0000;76,0334;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;1,0000;1,0000;0,1051;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
